n  v(n)  Re(T)  Im(T)  Mod(T) 
650  138  9.222038  -81.51431  82.03432  
651  0  64.00221  -89.66264  110.16203  
652  0  -108.655815  59.23139  123.75154  
653  0  -11.274929  -127.78157  128.27803  
654  0  75.458435  95.00602  121.3265  
655  0  105.60342  -18.693222  107.24513  
656  128  145.95383  64.20858  159.453  
657  126  117.478615  -49.560165  127.50465  
658  130  -18.815472  -111.56447  113.13997  
659  128  5.1232796  -51.002884  51.259556  
660  131  28.10051  18.562088  33.677734  
661  0  -47.264523  39.508194  61.60221  
662  0  26.785812  -17.569641  32.03392  
663  0  51.6939  -88.07764  102.12703  
664  0  -112.480545  14.517296  113.41351  
665  0  45.83872  -95.371376  105.815346  
666  123  17.062431  -30.691612  35.115547  
667  127  14.5751  -67.67464  69.22637  
668  128  48.595566  36.939415  61.041374  
669  126  43.70841  -4.0012283  43.89117  
670  121  -96.9005  -22.371712  99.44948  
671  0  -73.81105  4.830208  73.968925  
672  0  -137.47249  68.505455  153.59584  
673  17  161.21094  -84.408936  181.97208  
674  0  -109.6475  12.253235  110.33003  
675  0  106.297386  40.52868  113.761635  
676  127  15.857391  -32.386055  36.05986  
677  129  11.137661  -61.199112  62.20433  
678  125  34.435932  -77.53075  84.83425  
679  119  -109.36279  13.8743515  110.23937  
680  128  64.173485  -148.66812  161.92729  
681  0  36.177086  157.10123  161.21283  
682  0  14.276764  -0.97882843  14.310279  
683  0  84.21798  -77.73887  114.61239  
684  0  71.23303  19.136383  73.758705  
685  0  82.34835  -80.39561  115.08564  
686  127  -85.19126  -7.590378  85.52873  
687  127  -17.44944  9.50766  19.871552  
688  128  -27.165672  -43.757004  51.503876  
689  121  164.95642  -126.52534  207.89247  
690  128  -70.499695  25.093803  74.83252  
691  0  125.28389  -69.292625  143.16956  
692  0  96.31232  48.6204  107.88886  
693  0  132.22316  -171.86589  216.84293  
694  0  106.02656  189.50415  217.14845  
695  0  -26.963837  22.865776  35.353813  
696  126  -30.661484  -128.17097  131.78743  
697  146  -47.020714  -116.0418  125.20641  
698  116  -73.4201  -83.31907  111.05214  
699  134  96.47612  191.17984  214.14334  
700  125  84.922516  35.12018  91.8981  
701  0  -28.723541  47.149315  55.2096  
702  0  58.616726  -49.150642  76.496445  
703  0  -121.57123  80.23599  145.66187  
704  0  -117.305084  47.366173  126.507065  
705  0  -90.455475  203.16269  222.38991  
706  128  -15.771149  32.29995  35.944622  
707  115  2.4749756  -1.6021042  2.9482608  
708  123  -148.04736  -15.828056  148.89107  
709  127  21.824966  0.5600128  21.83215  
710  128  -5.5394516  7.174736  9.064345  
711  0  61.55153  83.536224  103.76363  
712  0  66.28222  82.61522  105.91793  
713  0  12.0342865  4.1503754  12.729873  
714  0  57.399437  -26.388489  63.17474  
715  0  -47.20849  97.21914  108.07498  
716  126  -30.92463  -24.628601  39.53354  
717  127  42.502045  -2.1222992  42.555  
718  138  82.2751  53.850845  98.33161  
719  130  76.735886  51.850914  92.611626  
720  135  10149.054  -31014.69  32633.023  
721  0  152.61487  -34.54828  156.47646  
722  0  149.47566  147.66907  210.11693  
723  0  -19.821526  109.44904  111.22942  
724  0  128.62178  -95.65638  160.29256  
725  0  34.115387  63.98555  72.51214  
726  125  -173.86652  -140.01602  223.23541  
727  127  -14.977119  64.52407  66.23949  
728  146  -231.13564  134.88799  267.61624  
729  122  94.92276  -129.30682  160.40756  
730  130  86.15602  -30.53347  91.406525  
731  0  130.12827  -4.647026  130.21121  
732  0  -88.42546  88.44498  125.066284  
733  0  62.726135  -33.810818  71.258255  
734  0  -118.91953  144.21112  186.91898  
735  0  4.0947876  49.090485  49.260967  
736  125  -2.7249832  75.00758  75.05707  
737  122  100.89063  66.53411  120.85408  
738  124  140.04213  -49.40423  148.5011  
739  134  16.064804  -20.200413  25.809584  
740  128  -52.558533  -81.836006  97.260124  
741  0  -142.02187  -94.66085  170.67773  
742  0  136.6066  -80.39435  158.50746  
743  0  197.92078  40.085175  201.93922  
744  0  -5.917946  -150.4995  150.6158  
745  0  133.07964  126.774086  183.79842  
746  128  -102.353  11.955013  103.04881  
747  113  74.47549  -8.18742  74.92417  
748  126  84.7888  23.94992  88.106415  
749  128  84.889305  -3.961998  84.98171  
750  115  -127.16039  11.535114  127.68251  
751  0  -41.805443  -120.40406  127.45522  
752  0  -35.836555  60.473804  70.29466  
753  0  67.91259  34.29535  76.08082  
754  0  -127.06512  33.843506  131.49498  
755  0  -113.25072  80.87189  139.16173  
756  127  27.81575  76.683624  81.57263  
757  126  52.474464  13.629219  54.21554  
758  120  20.589546  96.62494  98.79427  
759  128  -201.25739  -109.24617  228.9962  
760  130  202.81702  -77.41931  217.09097  
761  0  -45.990654  205.07773  210.1714  
762  0  -44.108734  10.710209  45.390408  
763  0  75.70871  46.57741  88.88905  
764  0  -60.472923  81.54677  101.52266  
765  0  -72.83672  160.92072  176.6371  
766  121  -142.34201  12.030289  142.84949  
767  123  -12.630661  -19.920841  23.587572  
768  129  -28.88517  -83.96073  88.79053  
769  128  203.33655  172.00708  266.33096  
770  132  -122.63333  127.83854  177.14859  
771  0  43.066254  15.18251  45.66411  
772  0  -40.53089  -46.538162  61.71348  
773  0  112.397934  -40.7874  119.56968  
774  0  -100.73413  158.8474  188.09535  
775  1  -52.336617  -107.01016  119.12303  
776  112  141.12378  42.78411  147.46661  
777  124  26.63681  -137.45024  140.00746  
778  140  93.03939  -115.39067  148.22731  
779  127  -80.733185  172.117  190.11078  
780  115  86.91373  84.38872  121.14227  
781  0  3.3131638  2.7996826  4.337658  
782  0  99.9964  -36.397125  106.41443  
783  6  -95.54932  -77.72979  123.17302  
784  0  -86.60523  -62.638206  106.88317  
785  0  -157.2171  -52.43198  165.72969  
786  130  -131.6931  -0.24718761  131.69333  
787  127  39.358536  -36.064938  53.383274  
788  129  -97.01811  -68.613914  118.829216  
789  122  69.18131  -19.41657  71.854416  
790  123  -12.840851  -16.396591  20.82632  
791  0  40.45894  28.279612  49.362556  
792  0  -181.04999  126.14353  220.66103  
793  0  14.623161  -29.779999  33.176575  
794  0  106.848694  167.93192  199.04214  
795  0  -94.066666  -3.0616121  94.11647  
796  107  44.84321  -14.30867  47.070705  
797  127  -90.428894  20.234444  92.665085  
798  123  -78.61878  -141.19292  161.60555  
799  127  50.21205  -82.84349  96.87257  
