n v(n)    Re(T)       Im(T)        Mod(T) 
   
0  86  76694.0  0.0  76694.0  
1  62  -15.460625  -566.44275  566.6537  
2  118  -120.73963  -196.35818  230.50941  
3  121  -410.04025  -42.48002  412.23483  
4  61  198.55098  -333.2923  387.95135  
5  135  -287.49182  1053.6849  1092.2012  
6  62  166.976  544.2062  569.24634  
7  70  1153.3616  -358.36682  1207.7539  
8  79  -1026.3856  213.9007  1048.4374  
9  71  327.81226  76.23155  336.55923  
10  89  -505.1785  -136.11899  523.1957  
11  80  -839.2742  1031.2087  1329.576  
12  95  -81.447136  -504.49014  511.02243  
13  73  509.0707  145.42484  529.43494  
14  67  -49.168694  97.038994  108.784775  
15  114  -27.439163  -24.90047  37.05322  
16  78  122.37802  1279.8865  1285.7239  
17  148  -1128.3066  33.206673  1128.7952  
18  87  126.45415  416.09882  434.8895  
19  144  -1424.3916  -180.3284  1435.761  
20  143  23.733433  -1176.9537  1177.193  
21  132  -516.50397  346.59384  622.01575  
22  90  -328.8976  107.57138  346.04227  
23  65  214.38391  -460.16013  507.6493  
24  122  71.315994  -1179.2635  1181.418  
25  40  -212.74884  342.3102  403.0364  
26  133  -775.9668  89.11165  781.06683  
27  24  -531.6794  -273.17715  597.75305  
28  66  703.03357  1049.6079  1263.3024  
29  77  -94.48604  883.22644  888.26605  
30  142  559.1881  -110.533516  570.0079  
31  141  106.326996  1195.4504  1200.1697  
32  31  -1293.7582  -420.2459  1360.3003  
33  73  -555.1848  -171.0289  580.9312  
34  84  -336.93222  152.39244  369.79288  
35  91  -627.42566  -8.112968  627.4781  
36  110  -179.72191  195.65552  265.67093  
37  89  459.5011  -1.0584774  459.50232  
38  100  383.9455  732.7676  827.262  
39  85  1139.4801  -196.94075  1156.3739  
40  123  756.83795  -235.1846  792.53735  
41  153  292.85822  -479.4816  561.8439  
42  35  -68.23326  -607.5611  611.3806  
43  88  969.51996  -1068.6688  1442.9214  
44  96  -768.4433  151.9552  783.32336  
45  117  291.90515  190.48965  348.56122  
46  181  -19.335106  -304.82162  305.43423  
47  110  -78.2269  -90.213585  119.40661  
48  58  -115.10313  -389.7988  406.438  
