n v(n)    Re(T)       Im(T)        Mod(T) 
   
119  917  787.6864  832.6994  1146.2278  
120  798  723.4492  714.14575  1016.55444  
121  546  734.2827  755.0564  1053.2242  
122  275  683.18445  723.37915  994.99664  
123  83  663.3059  672.5792  944.63617  
124  51  605.03613  681.9479  911.6587  
125  180  562.4249  681.50684  883.61383  
126  432  590.14404  691.03503  908.73505  
127  704  562.3994  645.2599  855.9517  
128  891  504.23535  605.82135  788.2086  
129  861  505.99994  617.1823  798.09143  
130  639  499.6548  574.27466  761.2137  
131  363  460.29367  569.162  731.99426  
132  131  439.85852  591.4761  737.10205  
133  42  442.91437  586.0318  734.5791  
134  119  449.76154  555.7761  714.9633  
135  341  414.32886  526.1199  669.67944  
136  616  382.33554  508.79092  636.4343  
137  845  390.6444  494.51447  630.1965  
138  902  333.778  485.26633  588.9747  
139  724  355.00043  475.87296  593.70056  
140  454  324.37164  441.72238  548.0289  
141  196  348.42664  463.07974  579.52045  
142  54  417.29156  465.06482  624.834  
143  73  202.7557  398.65323  447.2519  
144  257  200.30356  397.574  445.18155  
145  524  204.45668  402.3421  451.3111  
146  778  189.39467  431.91232  471.61276  
147  918  212.92148  436.26874  485.4544  
148  800  184.78069  407.82916  447.73712  
149  547  219.61792  396.3797  453.1544  
150  277  235.7506  399.98502  464.29123  
151  84  163.72615  366.17953  401.11557  
152  51  177.70667  385.64334  424.61798  
153  179  151.73102  331.7331  364.78644  
154  431  88.980606  349.92816  361.0641  
155  701  172.12512  293.11523  339.91705  
156  889  156.09758  305.99017  343.5061  
157  861  139.65834  300.7212  331.5685  
158  640  119.29295  272.00156  297.0112  
159  362  109.36694  251.4317  274.18796  
160  132  100.08139  220.65921  242.2948  
161  42  115.27573  214.29492  243.3327  
162  118  74.05397  193.02899  206.74666  
163  341  78.19786  165.01855  182.60895  
164  613  68.69119  120.02954  138.29523  
165  842  113.265305  64.68323  130.4337  
166  903  -178.36775  90.711975  200.10927  
167  726  -116.76796  15.235107  117.75765  
168  456  -147.51881  -141.64508  204.51193  
169  198  -283.6371  -386.2381  479.1971  
170  56  -520.13654  -864.379  1008.8078  
171  75  -2180.1802  -4270.889  4795.1724  
172  255  1506.5432  3165.309  3505.5461  
173  524  652.39246  1456.4265  1595.8679  
174  778  460.56982  992.4272  1094.0916  
175  917  363.20142  800.15735  878.73035  
176  803  300.88852  654.5862  720.42834  
177  549  236.08669  613.1795  657.0586  
178  280  249.47047  568.4016  620.7382  
179  83  175.85455  570.2675  596.7662  
180  50  162.1495  495.78986  521.6321  
181  179  192.57068  459.72122  498.4246  
182  430  169.03198  464.85724  494.63528  
183  698  139.49911  444.38528  465.76633  
184  888  108.86949  384.6618  399.7715  
185  863  140.09326  421.6734  444.33612  
186  643  152.60974  412.2025  439.54596  
187  363  108.329735  398.03015  412.50858  
188  133  117.02228  418.09708  434.16516  
189  41  98.79946  386.07288  398.51422  
190  118  127.51158  347.37912  370.0425  
191  339  84.75603  349.18793  359.32687  
192  611  68.51489  384.79068  390.8429  
193  840  114.93794  378.70984  395.76746  
194  903  66.33684  316.03943  322.92645  
195  729  73.38098  366.37204  373.64853  
196  462  78.20323  335.2898  344.28912  
197  198  51.259594  337.2868  341.1597  
198  57  50.186527  323.4784  327.3484  
199  73  22.417805  334.40042  335.151  
200  253  -131.50562  523.3599  539.6289  
201  520  108.94662  240.96387  264.4484  
202  776  82.60707  265.69464  278.24014  
203  917  79.51791  287.5954  298.386  
204  802  46.557938  257.72864  261.90015  
205  554  59.23873  254.34323  261.15076  
