x-axis,1,2
second,Volt,Volt
-7.1100E+00,,
-7.1000E+00,,
-7.0900E+00,,
-7.0800E+00,,
-7.0700E+00,,
-7.0600E+00,,
-7.0500E+00,,
-7.0400E+00,,
-7.0300E+00,,
-7.0200E+00,,
-7.0100E+00,,
-7.0000E+00,,
-6.9900E+00,,
-6.9800E+00,,
-6.9700E+00,,
-6.9600E+00,,
-6.9500E+00,,
-6.9400E+00,,
-6.9300E+00,,
-6.9200E+00,,
-6.9100E+00,,
-6.9000E+00,,
-6.8900E+00,,
-6.8800E+00,,
-6.8700E+00,,
-6.8600E+00,,
-6.8500E+00,,
-6.8400E+00,,
-6.8300E+00,,
-6.8200E+00,,
-6.8100E+00,,
-6.8000E+00,,
-6.7900E+00,,
-6.7800E+00,,
-6.7700E+00,,
-6.7600E+00,,
-6.7500E+00,,
-6.7400E+00,,
-6.7300E+00,,
-6.7200E+00,,
-6.7100E+00,,
-6.7000E+00,,
-6.6900E+00,,
-6.6800E+00,,
-6.6700E+00,,
-6.6600E+00,,
-6.6500E+00,,
-6.6400E+00,,
-6.6300E+00,,
-6.6200E+00,,
-6.6100E+00,,
-6.6000E+00,,
-6.5900E+00,,
-6.5800E+00,,
-6.5700E+00,,
-6.5600E+00,,
-6.5500E+00,,
-6.5400E+00,,
-6.5300E+00,,
-6.5200E+00,,
-6.5100E+00,,
-6.5000E+00,,
-6.4900E+00,,
-6.4800E+00,,
-6.4700E+00,,
-6.4600E+00,,
-6.4500E+00,,
-6.4400E+00,,
-6.4300E+00,,
-6.4200E+00,,
-6.4100E+00,,
-6.4000E+00,,
-6.3900E+00,,
-6.3800E+00,,
-6.3700E+00,,
-6.3600E+00,,
-6.3500E+00,,
-6.3400E+00,,
-6.3300E+00,,
-6.3200E+00,,
-6.3100E+00,,
-6.3000E+00,,
-6.2900E+00,,
-6.2800E+00,,
-6.2700E+00,,
-6.2600E+00,,
-6.2500E+00,,
-6.2400E+00,,
-6.2300E+00,,
-6.2200E+00,,
-6.2100E+00,,
-6.2000E+00,,
-6.1900E+00,,
-6.1800E+00,,
-6.1700E+00,,
-6.1600E+00,,
-6.1500E+00,,
-6.1400E+00,,
-6.1300E+00,,
-6.1200E+00,,
-6.1100E+00,,
-6.1000E+00,,
-6.0900E+00,,
-6.0800E+00,,
-6.0700E+00,,
-6.0600E+00,,
-6.0500E+00,,
