x-axis,1,2
second,Volt,Volt
-100.000E-06,+506.187182E-03,-193.027603E-03
-99.900E-06,+474.600678E-03,-172.927100E-03
-99.800E-06,+486.086680E-03,-135.597596E-03
-99.700E-06,+486.086680E-03,-138.469096E-03
-99.600E-06,+471.729178E-03,-118.368594E-03
-99.500E-06,+486.086680E-03,-75.296089E-03
-99.400E-06,+506.187182E-03,-52.324086E-03
-99.300E-06,+486.086680E-03,-32.223584E-03
-99.200E-06,+494.701181E-03,+7.977420E-03
-99.100E-06,+503.315682E-03,+10.848921E-03
-99.000E-06,+486.086680E-03,+48.178425E-03
-98.900E-06,+465.986177E-03,+53.921426E-03
-98.800E-06,+486.086680E-03,+88.379430E-03
-98.700E-06,+486.086680E-03,+148.680937E-03
-98.600E-06,+486.086680E-03,+148.680937E-03
-98.500E-06,+486.086680E-03,+180.267440E-03
-98.400E-06,+488.958180E-03,+208.982443E-03
-98.300E-06,+506.187182E-03,+229.082946E-03
-98.200E-06,+506.187182E-03,+234.825946E-03
-98.100E-06,+468.857678E-03,+266.412450E-03
-98.000E-06,+477.472179E-03,+309.484955E-03
-97.900E-06,+486.086680E-03,+329.585457E-03
-97.800E-06,+497.572681E-03,+349.685960E-03
-97.700E-06,+486.086680E-03,+389.886964E-03
-97.600E-06,+500.444181E-03,+389.886964E-03
-97.500E-06,+486.086680E-03,+415.730467E-03
-97.400E-06,+488.958180E-03,+450.188471E-03
-97.300E-06,+486.086680E-03,+490.389476E-03
-97.200E-06,+506.187182E-03,+510.489978E-03
-97.100E-06,+497.572681E-03,+519.104479E-03
-97.000E-06,+468.857678E-03,+510.489978E-03
-96.900E-06,+471.729178E-03,+519.104479E-03
-96.800E-06,+486.086680E-03,+510.489978E-03
-96.700E-06,+506.187182E-03,+510.489978E-03
-96.600E-06,+486.086680E-03,+519.104479E-03
-96.500E-06,+486.086680E-03,+510.489978E-03
-96.400E-06,+486.086680E-03,+510.489978E-03
-96.300E-06,+506.187182E-03,+527.718980E-03
-96.200E-06,+500.444181E-03,+516.232979E-03
-96.100E-06,+486.086680E-03,+499.003977E-03
-96.000E-06,+486.086680E-03,+527.718980E-03
-95.900E-06,+494.701181E-03,+530.590480E-03
-95.800E-06,+486.086680E-03,+530.590480E-03
-95.700E-06,+486.086680E-03,+521.975979E-03
-95.600E-06,+486.086680E-03,+527.718980E-03
-95.500E-06,+471.729178E-03,+510.489978E-03
-95.400E-06,+491.829680E-03,+516.232979E-03
-95.300E-06,+486.086680E-03,+513.361478E-03
-95.200E-06,+474.600678E-03,+510.489978E-03
