n, V
1236, 1.00
50, 0.04
1215, 0.98
102, 0.08
1129, 0.91
206, 0.17
988, 0.80
360, 0.29
816, 0.66
547, 0.44
621, 0.50
733, 0.59
438, 0.35
917, 0.74
282, 0.23
1080, 0.87
147, 0.12
1191, 0.96
74, 0.06
1258, 1.01
51, 0.04
1215, 0.98
112, 0.09
1118, 0.90
227, 0.18
972, 0.78
385, 0.31
793, 0.64
569, 0.46
594, 0.48
760, 0.61
405, 0.33
950, 0.77
241, 0.19
1116, 0.90
132, 0.11
1216, 0.98
60, 0.05
1254, 1.01
65, 0.05
1184, 0.95
127, 0.10
1076, 0.87
274, 0.22
914, 0.74
452, 0.36
731, 0.59
630, 0.51
531, 0.43
829, 0.67
354, 0.29
1007, 0.81
195, 0.16
1157, 0.93
92, 0.07
1229, 0.99
47, 0.04
1230, 0.99
78, 0.06
1158, 0.93
174, 0.14
1014, 0.82
323, 0.26
855, 0.69
493, 0.40
659, 0.53
690, 0.56
475, 0.38
887, 0.71
292, 0.24
1070, 0.86
161, 0.13
1181, 0.95
70, 0.06
1248, 1.01
57, 0.05
1215, 0.98
104, 0.08
1119, 0.90
216, 0.17
966, 0.78
389, 0.31
791, 0.64
573, 0.46
592, 0.48
762, 0.61
412, 0.33
950, 0.77
250, 0.20
1109, 0.89
122, 0.10
1208, 0.97
66, 0.05
1250, 1.01
60, 0.05
1186, 0.96
145, 0.12
1078, 0.87
263, 0.21
919, 0.74
436, 0.35
732, 0.59
632, 0.51
548, 0.44
823, 0.66
366, 0.29
1002, 0.81
208, 0.17
1147, 0.92
107, 0.09
1236, 1.00
54, 0.04
1236, 1.00
74, 0.06
1147, 0.92
178, 0.14
1019, 0.82
324, 0.26
855, 0.69
497, 0.40
662, 0.53
704, 0.57
478, 0.39
885, 0.71
307, 0.25
1061, 0.85
158, 0.13
1186, 0.96
66, 0.05
1253, 1.01
49, 0.04
1211, 0.98
105, 0.08
1124, 0.91
213, 0.17
978, 0.79
384, 0.31
785, 0.63
562, 0.45
596, 0.48
757, 0.61
422, 0.34
948, 0.76
238, 0.19
1101, 0.89
123, 0.10
1217, 0.98
64, 0.05
1257, 1.01
68, 0.05
1182, 0.95
134, 0.11
1067, 0.86
259, 0.21
914, 0.74
442, 0.36
719, 0.58
633, 0.51
537, 0.43
824, 0.66
356, 0.29
998, 0.80
202, 0.16
1143, 0.92
91, 0.07
1234, 0.99
51, 0.04
1229, 0.99
79, 0.06
1151, 0.93
172, 0.14
1013, 0.82
321, 0.26
846, 0.68
501, 0.40
663, 0.53
706, 0.57
474, 0.38
892, 0.72
307, 0.25
1059, 0.85
163, 0.13
1181, 0.95
73, 0.06
1255, 1.01
43, 0.03
1214, 0.98
104, 0.08
1121, 0.90
212, 0.17
980, 0.79
390, 0.31
796, 0.64
568, 0.46
596, 0.48
768, 0.62
412, 0.33
958, 0.77
250, 0.20
1110, 0.89
